Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Numerical stabilization of coupled wellbore-reservoir multiphase hydrodynamic solution by a contracting operator,Computational Geosciences,,,,10.1007/s10596-025-10380-8,Mikhail KaznacheevLev Kotlyar,2025,https://link.springer.com/article/10.1007/s10596-025-10380-8,Article
Two-phase analysis of oedometric gas injection tests with simplified representation of geomechanical effects,Computational Geosciences,,,,10.1007/s10596-025-10379-1,Stefan FinsterleQazim LlabjaniAlessio FerrariPaul Marschall,2025,https://link.springer.com/article/10.1007/s10596-025-10379-1,Article
Investigation of convolutional variational autoencoders for facies calibration within ensemble-smoother multiple data assimilation,Computational Geosciences,,,,10.1007/s10596-025-10374-6,Emanuela AbbateLaura DoveraDavide Di CurzioAndrea Da Pra,2025,https://link.springer.com/article/10.1007/s10596-025-10374-6,Article
Implicit time discretisation as a potential avenue to achieve full coupling between shallow water flow and bedload transport,Computational Geosciences,,,,10.1007/s10596-025-10373-7,Martin UtzLeopold StadlerBernd Flemisch,2025,https://link.springer.com/article/10.1007/s10596-025-10373-7,Article
Preserving nonlinear constraints in variational flow filtering data assimilation,Computational Geosciences,,,,10.1007/s10596-025-10378-2,Amit N. SubrahmanyaAndrey A. PopovReid J. GomillionAdrian Sandu,2025,https://link.springer.com/article/10.1007/s10596-025-10378-2,Article
Research of rapid retrieving models for GOSAT XCO2 based on machine learning,Computational Geosciences,,,,10.1007/s10596-025-10376-4,Wei WeiZhengyi BaoYue SuPengyu WangShuangcheng Bai,2025,https://link.springer.com/article/10.1007/s10596-025-10376-4,Article
Fast and automatic full waveform inversion by dual augmented Lagrangian,Computational Geosciences,,,,10.1007/s10596-025-10375-5,Kamal AghazadeAli Gholami,2025,https://link.springer.com/article/10.1007/s10596-025-10375-5,Article
A distributed field-scale parallel nonlinear domain-decomposition solver,Computational Geosciences,,,,10.1007/s10596-025-10371-9,Atgeirr F. RasmussenOlav MøynerBård SkaflestadKnut-Andreas LieJakob TorbenArthur MoncorgéVegard Kippe,2025,https://link.springer.com/article/10.1007/s10596-025-10371-9,Article
"Multifidelity Monte Carlo method for rapid uncertainty quantification in CO<span class=""mathjax-tex"">\(_2\)</span> storage applications",Computational Geosciences,,,,10.1007/s10596-025-10372-8,Francesca WatsonØystein KlemetsdalKjetil Olsen Lye,2025,https://link.springer.com/article/10.1007/s10596-025-10372-8,Article
Three-phase equilibrium in a GPU-based compositional reservoir simulator,Computational Geosciences,,,,10.1007/s10596-025-10369-3,Paola PanfiliLeonardo PatacchiniAndrea FerrariKenneth EslerAlberto Cominelli,2025,https://link.springer.com/article/10.1007/s10596-025-10369-3,Article
JutulDarcy.jl - a fully differentiable high-performance reservoir simulator based on automatic differentiation,Computational Geosciences,,,,10.1007/s10596-025-10366-6,Olav Møyner,2025,https://link.springer.com/article/10.1007/s10596-025-10366-6,Article
Wind-powered reservoir management with application to robust multi-objective optimization,Computational Geosciences,,,,10.1007/s10596-025-10370-w,Mathias M. NilsenRolf J. LorentzenAndreas S. StordalOlwijn LeeuwenburghEduardo Barros,2025,https://link.springer.com/article/10.1007/s10596-025-10370-w,Article
Coupling direct poroelastic modelling with deep learning for seismic inversion,Computational Geosciences,,,,10.1007/s10596-025-10368-4,Badreldein MohamedJianguo SongMunezero Ntibahanana,2025,https://link.springer.com/article/10.1007/s10596-025-10368-4,Article
"Alternative dissolution-rate controlled model and time adaptive, high resolution scheme for site-scale subsurface carbon sequestration simulation",Computational Geosciences,,,,10.1007/s10596-025-10367-5,Shuai LuDmitry LogashenkoStephan MatthaiArne NägelGabriel Wittum,2025,https://link.springer.com/article/10.1007/s10596-025-10367-5,Article
