Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Modelling Transition Between Fully and Partially Saturated Porous Media via a New Implicit Formulation of Interface Evolution,Transport in Porous Media,,,,10.1007/s11242-025-02215-y,Julien BomberaultQuentin RousseauNgoc Son NguyenGiulio Sciarra,2025,https://link.springer.com/article/10.1007/s11242-025-02215-y,Article
Upscaled Coefficients for Immiscible Two-Phase Flow in Porous Media for Drainage and Imbibition Processes,Transport in Porous Media,,,,10.1007/s11242-025-02222-z,J. A. Briones-CarrilloC. G. Aguilar-MaderaG. Espinosa-ParedesA. Pérez-ValsecaE. C. Herrera-HernándezV. Matías-PérezI. Navarro-de LeónA. T. Finol-González,2025,https://link.springer.com/article/10.1007/s11242-025-02222-z,Article
Convection Dynamics in a Brinkman Bidisperse Porous Medium Under Internal Heating,Transport in Porous Media,,,,10.1007/s11242-025-02213-0,F. CaponeR. De LucaJ. A. Gianfrani,2025,https://link.springer.com/article/10.1007/s11242-025-02213-0,Article
The Nield-Kuznetsov Functions and How they Arise in Modelling Flow in the Transition Layer,Transport in Porous Media,,,,10.1007/s11242-025-02219-8,M. H. HamdanM. S. Abu Zaytoon,2025,https://link.springer.com/article/10.1007/s11242-025-02219-8,Article
Explosive Byproduct Gas Transport Through Sorptive Geomedia,Transport in Porous Media,,,,10.1007/s11242-025-02212-1,Chelsea W. NeilDaniel L. EldridgeHayden MillerJohn P. OrtizPhilip H. StaufferThom RahnScott T. BroomeHakim BoukhalfaGarrett G. Euler,2025,https://link.springer.com/article/10.1007/s11242-025-02212-1,Article
Analysis of Thermal and Hydrodynamic Behavior of Nanofluid Flow Through Porouse Cylindre in Stepped Channel with Elastic Upper Wall,Transport in Porous Media,,,,10.1007/s11242-025-02221-0,Hanaa DerrazMohamed BouzitAtika Bencherif,2025,https://link.springer.com/article/10.1007/s11242-025-02221-0,Article
Permeability Dependency of Turbulence Over Packed-Beds,Transport in Porous Media,,,,10.1007/s11242-025-02218-9,Kazuhiko SugaMasatoshi EraYusuke Kuwata,2025,https://link.springer.com/article/10.1007/s11242-025-02218-9,Article
Convolution Neural Network Model Framework to Predict Microscale Drag Force for Turbulent Flow in Porous Media,Transport in Porous Media,,,,10.1007/s11242-025-02209-w,Vishal SrikanthAndrey V. Kuznetsov,2025,https://link.springer.com/article/10.1007/s11242-025-02209-w,Article
Stability Analysis of Darcy–Bénard Convection Subjected to Time-Dependent Heating Using an LTNE Model,Transport in Porous Media,,,,10.1007/s11242-025-02223-y,Kapil DevChunendra K. Sahu,2025,https://link.springer.com/article/10.1007/s11242-025-02223-y,Article
Measurement of Effective Diffusion Coefficient in Porous Media using the Naphthalene Sublimation,Transport in Porous Media,,,,10.1007/s11242-025-02216-x,Alireza ShahyadBehnam Khoshandam,2025,https://link.springer.com/article/10.1007/s11242-025-02216-x,Article
